size,proc,Compute,Exchange,Comm,Total,Idle
100,0,0.0353,0.0007,0.0060,0.0421,0.000067

100,1,0.0405,0.0007,0.0008,0.0421,0.000107

100,2,0.0390,0.0011,0.0020,0.0421,0.000088

100,3,0.0290,0.0018,0.0112,0.0421,0.000059

200,2,0.2161,0.0040,0.0313,0.2515,0.000115

200,3,0.2157,0.0045,0.0312,0.2515,0.000137

200,0,0.2157,0.0029,0.0328,0.2515,0.000133

200,1,0.2485,0.0012,0.0017,0.2515,0.000124

400,0,1.5136,0.0054,0.0792,1.5985,0.000238

400,1,1.5318,0.0047,0.0617,1.5985,0.000263

400,2,1.5715,0.0063,0.0205,1.5985,0.000238

400,3,1.5631,0.0070,0.0281,1.5985,0.000314
